"Step","Ereacher_Mnull_DS1000_W0_lr0.01 - train.NRC1","Ereacher_Mnull_DS1000_W0_lr0.01 - train.NRC1__MIN","Ereacher_Mnull_DS1000_W0_lr0.01 - train.NRC1__MAX"
"0","1.240633094758974","1.240633094758974","1.240633094758974"
"1","1.524089503684605","1.524089503684605","1.524089503684605"
"2","1.5747170702072473","1.5747170702072473","1.5747170702072473"
"3","1.6043370415201061","1.6043370415201061","1.6043370415201061"
"4","1.6330161834197496","1.6330161834197496","1.6330161834197496"
"5","1.6484933825199406","1.6484933825199406","1.6484933825199406"
"6","1.6639203378082166","1.6639203378082166","1.6639203378082166"
"7","1.6702492388198151","1.6702492388198151","1.6702492388198151"
"8","1.6721402371891454","1.6721402371891454","1.6721402371891454"
"9","1.6783781517204042","1.6783781517204042","1.6783781517204042"
"10","1.6797799684574275","1.6797799684574275","1.6797799684574275"
"11","1.6829036453294102","1.6829036453294102","1.6829036453294102"
"12","1.6897395326122786","1.6897395326122786","1.6897395326122786"
"13","1.6970550291540567","1.6970550291540567","1.6970550291540567"
"14","1.7008705175260692","1.7008705175260692","1.7008705175260692"
"15","1.7061241641295055","1.7061241641295055","1.7061241641295055"
"16","1.7052831748956814","1.7052831748956814","1.7052831748956814"
"17","1.7023877762817428","1.7023877762817428","1.7023877762817428"
"18","1.7010325653760228","1.7010325653760228","1.7010325653760228"
"19","1.7004470269752345","1.7004470269752345","1.7004470269752345"
"20","1.7021787629114116","1.7021787629114116","1.7021787629114116"
"21","1.706150950632582","1.706150950632582","1.706150950632582"
"22","1.7102852076152486","1.7102852076152486","1.7102852076152486"
"23","1.714418465407929","1.714418465407929","1.714418465407929"
"24","1.7179295851919452","1.7179295851919452","1.7179295851919452"
"25","1.7219115499850741","1.7219115499850741","1.7219115499850741"
"26","1.7255216022664681","1.7255216022664681","1.7255216022664681"
"27","1.7291662084870623","1.7291662084870623","1.7291662084870623"
"28","1.7346797291912517","1.7346797291912517","1.7346797291912517"
"29","1.741416103220603","1.741416103220603","1.741416103220603"
"30","1.7471216230988502","1.7471216230988502","1.7471216230988502"
"31","1.7538606813410296","1.7538606813410296","1.7538606813410296"
"32","1.7599133041275346","1.7599133041275346","1.7599133041275346"
"33","1.7671384491585778","1.7671384491585778","1.7671384491585778"
"34","1.7730866992520313","1.7730866992520313","1.7730866992520313"
"35","1.7782781812026078","1.7782781812026078","1.7782781812026078"
"36","1.7845738630949053","1.7845738630949053","1.7845738630949053"
"37","1.7907683137955754","1.7907683137955754","1.7907683137955754"
"38","1.7967076589281206","1.7967076589281206","1.7967076589281206"
"39","1.8030523731797585","1.8030523731797585","1.8030523731797585"
"40","1.809154494628834","1.809154494628834","1.809154494628834"
"41","1.8153745200925187","1.8153745200925187","1.8153745200925187"
"42","1.8215208839055994","1.8215208839055994","1.8215208839055994"
"43","1.8263914592422226","1.8263914592422226","1.8263914592422226"
"44","1.8306107250974164","1.8306107250974164","1.8306107250974164"
"45","1.8349829045394435","1.8349829045394435","1.8349829045394435"
"46","1.8392935491917306","1.8392935491917306","1.8392935491917306"
"47","1.8430733603388072","1.8430733603388072","1.8430733603388072"
"48","1.8463731412939377","1.8463731412939377","1.8463731412939377"
"49","1.8503886273214594","1.8503886273214594","1.8503886273214594"
"50","1.8545086821372534","1.8545086821372534","1.8545086821372534"
"51","1.8581222160907929","1.8581222160907929","1.8581222160907929"
"52","1.8623960634330288","1.8623960634330288","1.8623960634330288"
"53","1.8666112025386101","1.8666112025386101","1.8666112025386101"
"54","1.8719380732337012","1.8719380732337012","1.8719380732337012"
"55","1.877406414168945","1.877406414168945","1.877406414168945"
"56","1.8831389767770306","1.8831389767770306","1.8831389767770306"
"57","1.8882261214266909","1.8882261214266909","1.8882261214266909"
