"Step","Mgelu_DS1_Osgd_W0.01 - train.NRC2_new","Mgelu_DS1_Osgd_W0.01 - train.NRC2_new__MIN","Mgelu_DS1_Osgd_W0.01 - train.NRC2_new__MAX"
"0","0.8338915109634399","0.8338915109634399","0.8338915109634399"
"1","0.7764328122138977","0.7764328122138977","0.7764328122138977"
"2","0.7760187387466431","0.7760187387466431","0.7760187387466431"
"3","0.7943514585494995","0.7943514585494995","0.7943514585494995"
"4","0.8102148175239563","0.8102148175239563","0.8102148175239563"
"5","0.8162607550621033","0.8162607550621033","0.8162607550621033"
"6","0.8129491209983826","0.8129491209983826","0.8129491209983826"
"7","0.8031839728355408","0.8031839728355408","0.8031839728355408"
"8","0.7895312905311584","0.7895312905311584","0.7895312905311584"
"9","0.7737576961517334","0.7737576961517334","0.7737576961517334"
"10","0.7569169402122498","0.7569169402122498","0.7569169402122498"
"11","0.7397392988204956","0.7397392988204956","0.7397392988204956"
"12","0.7226097583770752","0.7226097583770752","0.7226097583770752"
"13","0.7057592868804932","0.7057592868804932","0.7057592868804932"
"14","0.6893710494041443","0.6893710494041443","0.6893710494041443"
"15","0.6734874844551086","0.6734874844551086","0.6734874844551086"
"16","0.6581708788871765","0.6581708788871765","0.6581708788871765"
"17","0.6434336304664612","0.6434336304664612","0.6434336304664612"
"18","0.6292549967765808","0.6292549967765808","0.6292549967765808"
"19","0.6156432032585144","0.6156432032585144","0.6156432032585144"
"20","0.602581799030304","0.602581799030304","0.602581799030304"
"21","0.5900827050209045","0.5900827050209045","0.5900827050209045"
"22","0.5781348347663879","0.5781348347663879","0.5781348347663879"
"23","0.5667431354522705","0.5667431354522705","0.5667431354522705"
"24","0.5559191703796387","0.5559191703796387","0.5559191703796387"
"25","0.5456611514091492","0.5456611514091492","0.5456611514091492"
"26","0.5359967947006226","0.5359967947006226","0.5359967947006226"
"27","0.5269265174865723","0.5269265174865723","0.5269265174865723"
"28","0.518455982208252","0.518455982208252","0.518455982208252"
"29","0.5105688571929932","0.5105688571929932","0.5105688571929932"
"30","0.5032740831375122","0.5032740831375122","0.5032740831375122"
"31","0.4965367317199707","0.4965367317199707","0.4965367317199707"
"32","0.490357369184494","0.490357369184494","0.490357369184494"
"33","0.4846920371055603","0.4846920371055603","0.4846920371055603"
"34","0.47950178384780884","0.47950178384780884","0.47950178384780884"
"35","0.4747578203678131","0.4747578203678131","0.4747578203678131"
"36","0.47041285037994385","0.47041285037994385","0.47041285037994385"
"37","0.4664241075515747","0.4664241075515747","0.4664241075515747"
"38","0.4627598822116852","0.4627598822116852","0.4627598822116852"
"39","0.45938044786453247","0.45938044786453247","0.45938044786453247"
"40","0.4562422037124634","0.4562422037124634","0.4562422037124634"
"41","0.4533093571662903","0.4533093571662903","0.4533093571662903"
"42","0.45055344700813293","0.45055344700813293","0.45055344700813293"
"43","0.44794419407844543","0.44794419407844543","0.44794419407844543"
"44","0.4454507529735565","0.4454507529735565","0.4454507529735565"
"45","0.4430568814277649","0.4430568814277649","0.4430568814277649"
"46","0.4407460689544678","0.4407460689544678","0.4407460689544678"
"47","0.4384903013706207","0.4384903013706207","0.4384903013706207"
"48","0.43628498911857605","0.43628498911857605","0.43628498911857605"
"49","0.43411773443222046","0.43411773443222046","0.43411773443222046"
"50","0.43197646737098694","0.43197646737098694","0.43197646737098694"
"51","0.429861843585968","0.429861843585968","0.429861843585968"
"52","0.4277602732181549","0.4277602732181549","0.4277602732181549"
"53","0.42567381262779236","0.42567381262779236","0.42567381262779236"
"54","0.42359620332717896","0.42359620332717896","0.42359620332717896"
"55","0.4215211868286133","0.4215211868286133","0.4215211868286133"
"56","0.4194500148296356","0.4194500148296356","0.4194500148296356"
"57","0.41738831996917725","0.41738831996917725","0.41738831996917725"
"58","0.4153313636779785","0.4153313636779785","0.4153313636779785"
"59","0.4132782816886902","0.4132782816886902","0.4132782816886902"
"60","0.4112379848957062","0.4112379848957062","0.4112379848957062"
"61","0.4092037081718445","0.4092037081718445","0.4092037081718445"
"62","0.4071792960166931","0.4071792960166931","0.4071792960166931"
"63","0.40515851974487305","0.40515851974487305","0.40515851974487305"
"64","0.40315350890159607","0.40315350890159607","0.40315350890159607"
"65","0.40116217732429504","0.40116217732429504","0.40116217732429504"
"66","0.39918646216392517","0.39918646216392517","0.39918646216392517"
"67","0.39722251892089844","0.39722251892089844","0.39722251892089844"
"68","0.395276814699173","0.395276814699173","0.395276814699173"
"69","0.393348753452301","0.393348753452301","0.393348753452301"
"70","0.3914356231689453","0.3914356231689453","0.3914356231689453"
"71","0.38954582810401917","0.38954582810401917","0.38954582810401917"
"72","0.38766786456108093","0.38766786456108093","0.38766786456108093"
"73","0.385807603597641","0.385807603597641","0.385807603597641"
"74","0.3839718997478485","0.3839718997478485","0.3839718997478485"
"75","0.38214758038520813","0.38214758038520813","0.38214758038520813"
"76","0.38033679127693176","0.38033679127693176","0.38033679127693176"
"77","0.3785461485385895","0.3785461485385895","0.3785461485385895"
