"Step","Mgelu_DS1_Osgd_W0.01 - train_mse_loss","Mgelu_DS1_Osgd_W0.01 - train_mse_loss__MIN","Mgelu_DS1_Osgd_W0.01 - train_mse_loss__MAX"
"1","0.10072015225887299","0.10072015225887299","0.10072015225887299"
"2","0.08912096545100212","0.08912096545100212","0.08912096545100212"
"3","0.08170205168426037","0.08170205168426037","0.08170205168426037"
"4","0.0770635511726141","0.0770635511726141","0.0770635511726141"
"5","0.07392971031367779","0.07392971031367779","0.07392971031367779"
"6","0.0720662921667099","0.0720662921667099","0.0720662921667099"
"7","0.07108563091605902","0.07108563091605902","0.07108563091605902"
"8","0.07043145596981049","0.07043145596981049","0.07043145596981049"
"9","0.06976688001304865","0.06976688001304865","0.06976688001304865"
"10","0.06955449003726244","0.06955449003726244","0.06955449003726244"
"11","0.06958096940070391","0.06958096940070391","0.06958096940070391"
"12","0.07003869488835335","0.07003869488835335","0.07003869488835335"
"13","0.0698153767734766","0.0698153767734766","0.0698153767734766"
"14","0.07007361389696598","0.07007361389696598","0.07007361389696598"
"15","0.06971993483603","0.06971993483603","0.06971993483603"
"16","0.07016094215214252","0.07016094215214252","0.07016094215214252"
"17","0.07001572288572788","0.07001572288572788","0.07001572288572788"
"18","0.07057760935276747","0.07057760935276747","0.07057760935276747"
"19","0.07064870093017817","0.07064870093017817","0.07064870093017817"
"20","0.07059174589812756","0.07059174589812756","0.07059174589812756"
"21","0.07054991088807583","0.07054991088807583","0.07054991088807583"
"22","0.07048170454800129","0.07048170454800129","0.07048170454800129"
"23","0.07099569961428642","0.07099569961428642","0.07099569961428642"
"24","0.0709481630474329","0.0709481630474329","0.0709481630474329"
"25","0.07049450930207968","0.07049450930207968","0.07049450930207968"
"26","0.07098251022398472","0.07098251022398472","0.07098251022398472"
"27","0.07075568567961454","0.07075568567961454","0.07075568567961454"
"28","0.07050693593919277","0.07050693593919277","0.07050693593919277"
"29","0.07063089497387409","0.07063089497387409","0.07063089497387409"
"30","0.07043164782226086","0.07043164782226086","0.07043164782226086"
"31","0.070485545322299","0.070485545322299","0.070485545322299"
"32","0.07006351742893457","0.07006351742893457","0.07006351742893457"
"33","0.07052957732230425","0.07052957732230425","0.07052957732230425"
"34","0.07014540676027536","0.07014540676027536","0.07014540676027536"
"35","0.0701894760131836","0.0701894760131836","0.0701894760131836"
"36","0.07036671973764896","0.07036671973764896","0.07036671973764896"
