"Step","Mgelu_DS1_Osgd_W0.01 - validation.prediction_error","Mgelu_DS1_Osgd_W0.01 - validation.prediction_error__MIN","Mgelu_DS1_Osgd_W0.01 - validation.prediction_error__MAX"
"0","1.0313628911972046","1.0313628911972046","1.0313628911972046"
"1","0.4688701331615448","0.4688701331615448","0.4688701331615448"
"2","0.4587770998477936","0.4587770998477936","0.4587770998477936"
"3","0.4556061625480652","0.4556061625480652","0.4556061625480652"
"4","0.45325610041618347","0.45325610041618347","0.45325610041618347"
"5","0.4498586058616638","0.4498586058616638","0.4498586058616638"
"6","0.4452952444553375","0.4452952444553375","0.4452952444553375"
"7","0.4401155114173889","0.4401155114173889","0.4401155114173889"
"8","0.43487173318862915","0.43487173318862915","0.43487173318862915"
"9","0.42992982268333435","0.42992982268333435","0.42992982268333435"
"10","0.42542946338653564","0.42542946338653564","0.42542946338653564"
"11","0.4214368760585785","0.4214368760585785","0.4214368760585785"
"12","0.4179380536079407","0.4179380536079407","0.4179380536079407"
"13","0.4148760437965393","0.4148760437965393","0.4148760437965393"
"14","0.41221296787261963","0.41221296787261963","0.41221296787261963"
"15","0.409903347492218","0.409903347492218","0.409903347492218"
"16","0.40789851546287537","0.40789851546287537","0.40789851546287537"
"17","0.40616098046302795","0.40616098046302795","0.40616098046302795"
"18","0.40466955304145813","0.40466955304145813","0.40466955304145813"
"19","0.4033874571323395","0.4033874571323395","0.4033874571323395"
"20","0.40230169892311096","0.40230169892311096","0.40230169892311096"
"21","0.40137147903442383","0.40137147903442383","0.40137147903442383"
"22","0.40059131383895874","0.40059131383895874","0.40059131383895874"
"23","0.39995890855789185","0.39995890855789185","0.39995890855789185"
"24","0.39945536851882935","0.39945536851882935","0.39945536851882935"
"25","0.3990509808063507","0.3990509808063507","0.3990509808063507"
"26","0.39875420928001404","0.39875420928001404","0.39875420928001404"
"27","0.39855870604515076","0.39855870604515076","0.39855870604515076"
"28","0.39844900369644165","0.39844900369644165","0.39844900369644165"
"29","0.3984266519546509","0.3984266519546509","0.3984266519546509"
"30","0.39848923683166504","0.39848923683166504","0.39848923683166504"
"31","0.3986269235610962","0.3986269235610962","0.3986269235610962"
"32","0.3988312780857086","0.3988312780857086","0.3988312780857086"
"33","0.3990961015224457","0.3990961015224457","0.3990961015224457"
"34","0.39942100644111633","0.39942100644111633","0.39942100644111633"
"35","0.39980149269104004","0.39980149269104004","0.39980149269104004"
"36","0.40023815631866455","0.40023815631866455","0.40023815631866455"
"37","0.40071216225624084","0.40071216225624084","0.40071216225624084"
"38","0.40122416615486145","0.40122416615486145","0.40122416615486145"
"39","0.40176641941070557","0.40176641941070557","0.40176641941070557"
"40","0.4023509621620178","0.4023509621620178","0.4023509621620178"
"41","0.4029688835144043","0.4029688835144043","0.4029688835144043"
"42","0.40361061692237854","0.40361061692237854","0.40361061692237854"
"43","0.4042745530605316","0.4042745530605316","0.4042745530605316"
"44","0.40495017170906067","0.40495017170906067","0.40495017170906067"
"45","0.40564730763435364","0.40564730763435364","0.40564730763435364"
"46","0.4063459634780884","0.4063459634780884","0.4063459634780884"
"47","0.4070662558078766","0.4070662558078766","0.4070662558078766"
"48","0.4077763557434082","0.4077763557434082","0.4077763557434082"
"49","0.4084916412830353","0.4084916412830353","0.4084916412830353"
"50","0.40919896960258484","0.40919896960258484","0.40919896960258484"
