"Step","Mgelu_DS1_Osgd_W0.01 - train.NRC1","Mgelu_DS1_Osgd_W0.01 - train.NRC1__MIN","Mgelu_DS1_Osgd_W0.01 - train.NRC1__MAX"
"0","56.364784240722656","56.364784240722656","56.364784240722656"
"1","56.24341583251953","56.24341583251953","56.24341583251953"
"2","48.44663619995117","48.44663619995117","48.44663619995117"
"3","43.01873016357422","43.01873016357422","43.01873016357422"
"4","38.820167541503906","38.820167541503906","38.820167541503906"
"5","35.387474060058594","35.387474060058594","35.387474060058594"
"6","32.49325180053711","32.49325180053711","32.49325180053711"
"7","30.00717544555664","30.00717544555664","30.00717544555664"
"8","27.843263626098633","27.843263626098633","27.843263626098633"
"9","25.939512252807617","25.939512252807617","25.939512252807617"
"10","24.249799728393555","24.249799728393555","24.249799728393555"
"11","22.738895416259766","22.738895416259766","22.738895416259766"
"12","21.3775691986084","21.3775691986084","21.3775691986084"
"13","20.143016815185547","20.143016815185547","20.143016815185547"
"14","19.018037796020508","19.018037796020508","19.018037796020508"
"15","17.986347198486328","17.986347198486328","17.986347198486328"
"16","17.037559509277344","17.037559509277344","17.037559509277344"
"17","16.16030502319336","16.16030502319336","16.16030502319336"
"18","15.34752082824707","15.34752082824707","15.34752082824707"
"19","14.591755867004395","14.591755867004395","14.591755867004395"
"20","13.886664390563965","13.886664390563965","13.886664390563965"
"21","13.227262496948242","13.227262496948242","13.227262496948242"
"22","12.60901165008545","12.60901165008545","12.60901165008545"
"23","12.028987884521484","12.028987884521484","12.028987884521484"
"24","11.483421325683594","11.483421325683594","11.483421325683594"
"25","10.969820022583008","10.969820022583008","10.969820022583008"
"26","10.486394882202148","10.486394882202148","10.486394882202148"
"27","10.030503273010254","10.030503273010254","10.030503273010254"
"28","9.600956916809082","9.600956916809082","9.600956916809082"
"29","9.196861267089844","9.196861267089844","9.196861267089844"
"30","8.816203117370605","8.816203117370605","8.816203117370605"
"31","8.458907127380371","8.458907127380371","8.458907127380371"
"32","8.123811721801758","8.123811721801758","8.123811721801758"
"33","7.809926986694336","7.809926986694336","7.809926986694336"
"34","7.516185760498047","7.516185760498047","7.516185760498047"
"35","7.242372512817383","7.242372512817383","7.242372512817383"
"36","6.987558364868164","6.987558364868164","6.987558364868164"
"37","6.750807762145996","6.750807762145996","6.750807762145996"
"38","6.531803131103516","6.531803131103516","6.531803131103516"
"39","6.328895568847656","6.328895568847656","6.328895568847656"
"40","6.141964912414551","6.141964912414551","6.141964912414551"
"41","5.969979286193848","5.969979286193848","5.969979286193848"
"42","5.812313556671143","5.812313556671143","5.812313556671143"
"43","5.6677398681640625","5.6677398681640625","5.6677398681640625"
"44","5.535335540771484","5.535335540771484","5.535335540771484"
"45","5.414685249328613","5.414685249328613","5.414685249328613"
"46","5.304743766784668","5.304743766784668","5.304743766784668"
"47","5.20478630065918","5.20478630065918","5.20478630065918"
"48","5.114091873168945","5.114091873168945","5.114091873168945"
"49","5.032275676727295","5.032275676727295","5.032275676727295"
"50","4.958284854888916","4.958284854888916","4.958284854888916"
"51","4.891601085662842","4.891601085662842","4.891601085662842"
"52","4.8320207595825195","4.8320207595825195","4.8320207595825195"
"53","4.778800010681152","4.778800010681152","4.778800010681152"
"54","4.7314229011535645","4.7314229011535645","4.7314229011535645"
"55","4.689251899719238","4.689251899719238","4.689251899719238"
"56","4.652213096618652","4.652213096618652","4.652213096618652"
"57","4.619668483734131","4.619668483734131","4.619668483734131"
"58","4.591396808624268","4.591396808624268","4.591396808624268"
"59","4.5670013427734375","4.5670013427734375","4.5670013427734375"
"60","4.546410083770752","4.546410083770752","4.546410083770752"
"61","4.529101848602295","4.529101848602295","4.529101848602295"
"62","4.515054225921631","4.515054225921631","4.515054225921631"
"63","4.503424167633057","4.503424167633057","4.503424167633057"
"64","4.494814395904541","4.494814395904541","4.494814395904541"
