"Step","Ehopper_Mno_relu_DS10000_W0.001_lr0.01 - train_mse_loss","Ehopper_Mno_relu_DS10000_W0.001_lr0.01 - train_mse_loss__MIN","Ehopper_Mno_relu_DS10000_W0.001_lr0.01 - train_mse_loss__MAX"
"1","0.07805942241102456","0.07805942241102456","0.07805942241102456"
"2","0.07014562981203198","0.07014562981203198","0.07014562981203198"
"3","0.065457743126899","0.065457743126899","0.065457743126899"
"4","0.061316230334341526","0.061316230334341526","0.061316230334341526"
"5","0.05904557937756181","0.05904557937756181","0.05904557937756181"
"6","0.057022982742637396","0.057022982742637396","0.057022982742637396"
"7","0.056109550036489965","0.056109550036489965","0.056109550036489965"
"8","0.055387046001851556","0.055387046001851556","0.055387046001851556"
"9","0.054727180395275354","0.054727180395275354","0.054727180395275354"
"10","0.05442362707108259","0.05442362707108259","0.05442362707108259"
"11","0.05343821980059147","0.05343821980059147","0.05343821980059147"
"12","0.05323540167883038","0.05323540167883038","0.05323540167883038"
"13","0.05235475292429328","0.05235475292429328","0.05235475292429328"
"14","0.05282887648791075","0.05282887648791075","0.05282887648791075"
"15","0.05175397731363773","0.05175397731363773","0.05175397731363773"
"16","0.05170631650835276","0.05170631650835276","0.05170631650835276"
"17","0.05165475932881236","0.05165475932881236","0.05165475932881236"
"18","0.051289796084165576","0.051289796084165576","0.051289796084165576"
"19","0.050700588058680295","0.050700588058680295","0.050700588058680295"
"20","0.05090907383710146","0.05090907383710146","0.05090907383710146"
"21","0.05093546099960804","0.05093546099960804","0.05093546099960804"
"22","0.05104512088000775","0.05104512088000775","0.05104512088000775"
"23","0.05040769474580884","0.05040769474580884","0.05040769474580884"
"24","0.05061936667189002","0.05061936667189002","0.05061936667189002"
"25","0.05023749927058816","0.05023749927058816","0.05023749927058816"
"26","0.05013328706845641","0.05013328706845641","0.05013328706845641"
"27","0.04981155879795551","0.04981155879795551","0.04981155879795551"
"28","0.04970824206247926","0.04970824206247926","0.04970824206247926"
"29","0.04998828349635005","0.04998828349635005","0.04998828349635005"
"30","0.049330782145261765","0.049330782145261765","0.049330782145261765"
"31","0.050330071989446876","0.050330071989446876","0.050330071989446876"
"32","0.04983891360461712","0.04983891360461712","0.04983891360461712"
"33","0.049538545217365025","0.049538545217365025","0.049538545217365025"
"34","0.048866454139351846","0.048866454139351846","0.048866454139351846"
"35","0.049396539386361835","0.049396539386361835","0.049396539386361835"
"36","0.04940201975405216","0.04940201975405216","0.04940201975405216"
"37","0.04857077579945326","0.04857077579945326","0.04857077579945326"
"38","0.04902125187218189","0.04902125187218189","0.04902125187218189"
"39","0.049328811932355165","0.049328811932355165","0.049328811932355165"
"40","0.04862024886533618","0.04862024886533618","0.04862024886533618"
"41","0.048810116853564976","0.048810116853564976","0.048810116853564976"
"42","0.04844291917979717","0.04844291917979717","0.04844291917979717"
"43","0.048602886591106655","0.048602886591106655","0.048602886591106655"
"44","0.04853438390418887","0.04853438390418887","0.04853438390418887"
"45","0.048448923230171206","0.048448923230171206","0.048448923230171206"
"46","0.047941128304228184","0.047941128304228184","0.047941128304228184"
"47","0.04834629129618406","0.04834629129618406","0.04834629129618406"
"48","0.04905888931825757","0.04905888931825757","0.04905888931825757"
"49","0.04836873337626457","0.04836873337626457","0.04836873337626457"
"50","0.04813241809606552","0.04813241809606552","0.04813241809606552"
"51","0.04820753028616309","0.04820753028616309","0.04820753028616309"
"52","0.04864382417872548","0.04864382417872548","0.04864382417872548"
"53","0.04836012916639447","0.04836012916639447","0.04836012916639447"
"54","0.0481922005303204","0.0481922005303204","0.0481922005303204"
"55","0.047491990495473146","0.047491990495473146","0.047491990495473146"
"56","0.04821719406172633","0.04821719406172633","0.04821719406172633"
"57","0.04795304648578167","0.04795304648578167","0.04795304648578167"
"58","0.04808282256126404","0.04808282256126404","0.04808282256126404"
"59","0.04910150486975908","0.04910150486975908","0.04910150486975908"
"60","0.04812719086185098","0.04812719086185098","0.04812719086185098"
"61","0.04792471379041672","0.04792471379041672","0.04792471379041672"
"62","0.047980019357055426","0.047980019357055426","0.047980019357055426"
"63","0.04799269353970885","0.04799269353970885","0.04799269353970885"
"64","0.04771460900083184","0.04771460900083184","0.04771460900083184"
"65","0.04739678604528308","0.04739678604528308","0.04739678604528308"
"66","0.04776235148310661","0.04776235148310661","0.04776235148310661"
"67","0.04768285071477294","0.04768285071477294","0.04768285071477294"
"68","0.047221454326063395","0.047221454326063395","0.047221454326063395"
"69","0.047012822702527046","0.047012822702527046","0.047012822702527046"
"70","0.04750564014539123","0.04750564014539123","0.04750564014539123"
"71","0.047193752694875","0.047193752694875","0.047193752694875"
"72","0.04735612431541085","0.04735612431541085","0.04735612431541085"
"73","0.04726971667259931","0.04726971667259931","0.04726971667259931"
"74","0.04772705193608999","0.04772705193608999","0.04772705193608999"
"75","0.04767852909862995","0.04767852909862995","0.04767852909862995"
"76","0.04719624752178788","0.04719624752178788","0.04719624752178788"
"77","0.04726301059126854","0.04726301059126854","0.04726301059126854"
"78","0.04750998616218567","0.04750998616218567","0.04750998616218567"
