"Step","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.prediction_error","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.prediction_error__MIN","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.prediction_error__MAX"
"0","0.34970197081565857","0.34970197081565857","0.34970197081565857"
"1","0.17390692234039307","0.17390692234039307","0.17390692234039307"
"2","0.1604439914226532","0.1604439914226532","0.1604439914226532"
"3","0.15214712917804718","0.15214712917804718","0.15214712917804718"
"4","0.14822658896446228","0.14822658896446228","0.14822658896446228"
"5","0.14308644831180573","0.14308644831180573","0.14308644831180573"
"6","0.13626018166542053","0.13626018166542053","0.13626018166542053"
"7","0.13785885274410248","0.13785885274410248","0.13785885274410248"
"8","0.12901727855205536","0.12901727855205536","0.12901727855205536"
"9","0.1362026184797287","0.1362026184797287","0.1362026184797287"
"10","0.12590382993221283","0.12590382993221283","0.12590382993221283"
"11","0.1210501417517662","0.1210501417517662","0.1210501417517662"
"12","0.12155979126691818","0.12155979126691818","0.12155979126691818"
"13","0.12522973120212555","0.12522973120212555","0.12522973120212555"
"14","0.1268923431634903","0.1268923431634903","0.1268923431634903"
"15","0.1166996955871582","0.1166996955871582","0.1166996955871582"
"16","0.11926377564668655","0.11926377564668655","0.11926377564668655"
"17","0.121359683573246","0.121359683573246","0.121359683573246"
"18","0.11465360969305038","0.11465360969305038","0.11465360969305038"
"19","0.111973337829113","0.111973337829113","0.111973337829113"
"20","0.1215396374464035","0.1215396374464035","0.1215396374464035"
"21","0.13097980618476868","0.13097980618476868","0.13097980618476868"
"22","0.11402570456266403","0.11402570456266403","0.11402570456266403"
"23","0.11199459433555603","0.11199459433555603","0.11199459433555603"
"24","0.10801796615123749","0.10801796615123749","0.10801796615123749"
"25","0.11745936423540115","0.11745936423540115","0.11745936423540115"
"26","0.1164504885673523","0.1164504885673523","0.1164504885673523"
"27","0.11110812425613403","0.11110812425613403","0.11110812425613403"
"28","0.11670544743537903","0.11670544743537903","0.11670544743537903"
"29","0.10688386112451553","0.10688386112451553","0.10688386112451553"
"30","0.11000039428472519","0.11000039428472519","0.11000039428472519"
"31","0.10432042926549911","0.10432042926549911","0.10432042926549911"
"32","0.11345724761486053","0.11345724761486053","0.11345724761486053"
"33","0.11269853264093399","0.11269853264093399","0.11269853264093399"
"34","0.11139731109142303","0.11139731109142303","0.11139731109142303"
"35","0.10861328989267349","0.10861328989267349","0.10861328989267349"
"36","0.10836886614561081","0.10836886614561081","0.10836886614561081"
"37","0.11744292825460434","0.11744292825460434","0.11744292825460434"
"38","0.11584488302469254","0.11584488302469254","0.11584488302469254"
"39","0.1275804191827774","0.1275804191827774","0.1275804191827774"
"40","0.10200951993465424","0.10200951993465424","0.10200951993465424"
"41","0.1196712777018547","0.1196712777018547","0.1196712777018547"
"42","0.11007364839315414","0.11007364839315414","0.11007364839315414"
"43","0.11011036485433578","0.11011036485433578","0.11011036485433578"
"44","0.12301681190729141","0.12301681190729141","0.12301681190729141"
"45","0.1276896595954895","0.1276896595954895","0.1276896595954895"
"46","0.10676833242177963","0.10676833242177963","0.10676833242177963"
"47","0.12008614093065262","0.12008614093065262","0.12008614093065262"
"48","0.10999825596809387","0.10999825596809387","0.10999825596809387"
"49","0.10210015624761581","0.10210015624761581","0.10210015624761581"
"50","0.10240033268928528","0.10240033268928528","0.10240033268928528"
"51","0.1163853108882904","0.1163853108882904","0.1163853108882904"
"52","0.10569360107183456","0.10569360107183456","0.10569360107183456"
"53","0.10871448367834091","0.10871448367834091","0.10871448367834091"
"54","0.10261780768632889","0.10261780768632889","0.10261780768632889"
"55","0.10008443892002106","0.10008443892002106","0.10008443892002106"
"56","0.13057628273963928","0.13057628273963928","0.13057628273963928"
"57","0.1120389774441719","0.1120389774441719","0.1120389774441719"
"58","0.10369381308555603","0.10369381308555603","0.10369381308555603"
"59","0.12785756587982178","0.12785756587982178","0.12785756587982178"
"60","0.1085302010178566","0.1085302010178566","0.1085302010178566"
"61","0.10967680811882019","0.10967680811882019","0.10967680811882019"
"62","0.11215326189994812","0.11215326189994812","0.11215326189994812"
"63","0.10026121139526367","0.10026121139526367","0.10026121139526367"
"64","0.12113474309444427","0.12113474309444427","0.12113474309444427"
"65","0.10325584560632706","0.10325584560632706","0.10325584560632706"
"66","0.11134856194257736","0.11134856194257736","0.11134856194257736"
"67","0.10107381641864777","0.10107381641864777","0.10107381641864777"
"68","0.11421170830726624","0.11421170830726624","0.11421170830726624"
"69","0.11810638755559921","0.11810638755559921","0.11810638755559921"
"70","0.09962915629148483","0.09962915629148483","0.09962915629148483"
"71","0.11292044818401337","0.11292044818401337","0.11292044818401337"
"72","0.12744510173797607","0.12744510173797607","0.12744510173797607"
"73","0.10594421625137329","0.10594421625137329","0.10594421625137329"
"74","0.10107540339231491","0.10107540339231491","0.10107540339231491"
"75","0.11241143941879272","0.11241143941879272","0.11241143941879272"
"76","0.11703087389469147","0.11703087389469147","0.11703087389469147"
"77","0.10557518154382706","0.10557518154382706","0.10557518154382706"
"78","0.1109602153301239","0.1109602153301239","0.1109602153301239"
"79","0.10657233744859695","0.10657233744859695","0.10657233744859695"
"80","0.10331735014915466","0.10331735014915466","0.10331735014915466"
"81","0.10638774186372757","0.10638774186372757","0.10638774186372757"
"82","0.11195266991853714","0.11195266991853714","0.11195266991853714"
"83","0.10541293770074844","0.10541293770074844","0.10541293770074844"
"84","0.10071080923080444","0.10071080923080444","0.10071080923080444"
"85","0.11707252264022827","0.11707252264022827","0.11707252264022827"
"86","0.10158754140138626","0.10158754140138626","0.10158754140138626"
"87","0.11239541321992874","0.11239541321992874","0.11239541321992874"
"88","0.10914574563503265","0.10914574563503265","0.10914574563503265"
"89","0.10433723777532578","0.10433723777532578","0.10433723777532578"
"90","0.10544387996196747","0.10544387996196747","0.10544387996196747"
