"Step","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.proj_error_H2W","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.proj_error_H2W__MIN","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - train.proj_error_H2W__MAX"
"0","0.05368702486157417","0.05368702486157417","0.05368702486157417"
"1","0.05313034728169441","0.05313034728169441","0.05313034728169441"
"2","0.04462132230401039","0.04462132230401039","0.04462132230401039"
"3","0.037460893392562866","0.037460893392562866","0.037460893392562866"
"4","0.03142401576042175","0.03142401576042175","0.03142401576042175"
"5","0.026248734444379807","0.026248734444379807","0.026248734444379807"
"6","0.022146075963974","0.022146075963974","0.022146075963974"
"7","0.01873127743601799","0.01873127743601799","0.01873127743601799"
"8","0.015928111970424652","0.015928111970424652","0.015928111970424652"
"9","0.013626961037516594","0.013626961037516594","0.013626961037516594"
"10","0.011699114926159382","0.011699114926159382","0.011699114926159382"
"11","0.010068616829812527","0.010068616829812527","0.010068616829812527"
"12","0.008661508560180664","0.008661508560180664","0.008661508560180664"
"13","0.007472933270037174","0.007472933270037174","0.007472933270037174"
"14","0.00645018694922328","0.00645018694922328","0.00645018694922328"
"15","0.005596134811639786","0.005596134811639786","0.005596134811639786"
"16","0.00484734121710062","0.00484734121710062","0.00484734121710062"
"17","0.00422053225338459","0.00422053225338459","0.00422053225338459"
"18","0.0036774680484086275","0.0036774680484086275","0.0036774680484086275"
"19","0.0032197837717831135","0.0032197837717831135","0.0032197837717831135"
"20","0.002818400738760829","0.002818400738760829","0.002818400738760829"
"21","0.0024832207709550858","0.0024832207709550858","0.0024832207709550858"
"22","0.002189739840105176","0.002189739840105176","0.002189739840105176"
"23","0.001936702523380518","0.001936702523380518","0.001936702523380518"
"24","0.0017182136652991176","0.0017182136652991176","0.0017182136652991176"
"25","0.0015205804957076907","0.0015205804957076907","0.0015205804957076907"
"26","0.0013542016968131065","0.0013542016968131065","0.0013542016968131065"
"27","0.001209512003697455","0.001209512003697455","0.001209512003697455"
"28","0.0010816373396664858","0.0010816373396664858","0.0010816373396664858"
"29","0.000967405503615737","0.000967405503615737","0.000967405503615737"
"30","0.0008699918980710208","0.0008699918980710208","0.0008699918980710208"
"31","0.0007814873824827373","0.0007814873824827373","0.0007814873824827373"
"32","0.0007035315502434969","0.0007035315502434969","0.0007035315502434969"
"33","0.0006344145513139665","0.0006344145513139665","0.0006344145513139665"
"34","0.00057210837258026","0.00057210837258026","0.00057210837258026"
"35","0.0005175319965928793","0.0005175319965928793","0.0005175319965928793"
"36","0.0004683077859226614","0.0004683077859226614","0.0004683077859226614"
"37","0.00042544250027276576","0.00042544250027276576","0.00042544250027276576"
"38","0.0003870064683724195","0.0003870064683724195","0.0003870064683724195"
"39","0.00035111099714413285","0.00035111099714413285","0.00035111099714413285"
"40","0.0003199320344720036","0.0003199320344720036","0.0003199320344720036"
"41","0.0002919715770985931","0.0002919715770985931","0.0002919715770985931"
"42","0.00026545292348600924","0.00026545292348600924","0.00026545292348600924"
"43","0.00024312679306603968","0.00024312679306603968","0.00024312679306603968"
"44","0.0002220140740973875","0.0002220140740973875","0.0002220140740973875"
"45","0.00020309534738771617","0.00020309534738771617","0.00020309534738771617"
"46","0.00018625147640705109","0.00018625147640705109","0.00018625147640705109"
"47","0.00017054856289178133","0.00017054856289178133","0.00017054856289178133"
"48","0.00015661813085898757","0.00015661813085898757","0.00015661813085898757"
"49","0.0001433687430107966","0.0001433687430107966","0.0001433687430107966"
"50","0.00013202840636949986","0.00013202840636949986","0.00013202840636949986"
"51","0.00012115416757296771","0.00012115416757296771","0.00012115416757296771"
"52","0.00011174145765835419","0.00011174145765835419","0.00011174145765835419"
"53","0.00010246992314932868","0.00010246992314932868","0.00010246992314932868"
"54","0.00009464130562264472","0.00009464130562264472","0.00009464130562264472"
"55","0.00008727580279810354","0.00008727580279810354","0.00008727580279810354"
"56","0.00008055599028011784","0.00008055599028011784","0.00008055599028011784"
"57","0.00007408851524814963","0.00007408851524814963","0.00007408851524814963"
"58","0.00006865850446047261","0.00006865850446047261","0.00006865850446047261"
"59","0.00006338165985653177","0.00006338165985653177","0.00006338165985653177"
"60","0.00005846323983860202","0.00005846323983860202","0.00005846323983860202"
"61","0.00005383963434724137","0.00005383963434724137","0.00005383963434724137"
"62","0.00005028197847423144","0.00005028197847423144","0.00005028197847423144"
"63","0.00004622837150236592","0.00004622837150236592","0.00004622837150236592"
"64","0.00004284385431674309","0.00004284385431674309","0.00004284385431674309"
"65","0.00003975002618972212","0.00003975002618972212","0.00003975002618972212"
"66","0.000036476427339948714","0.000036476427339948714","0.000036476427339948714"
"67","0.000033926226024050266","0.000033926226024050266","0.000033926226024050266"
"68","0.00003143642970826477","0.00003143642970826477","0.00003143642970826477"
"69","0.000029357761377468705","0.000029357761377468705","0.000029357761377468705"
"70","0.000027002006390830502","0.000027002006390830502","0.000027002006390830502"
"71","0.000025017587176989764","0.000025017587176989764","0.000025017587176989764"
"72","0.000023886874259915203","0.000023886874259915203","0.000023886874259915203"
"73","0.000021732721506850794","0.000021732721506850794","0.000021732721506850794"
"74","0.000020203375242999755","0.000020203375242999755","0.000020203375242999755"
"75","0.000018829450709745288","0.000018829450709745288","0.000018829450709745288"
"76","0.000017773551007849164","0.000017773551007849164","0.000017773551007849164"
"77","0.000016297033653245308","0.000016297033653245308","0.000016297033653245308"
"78","0.000015253985111485235","0.000015253985111485235","0.000015253985111485235"
"79","0.000014373103113030083","0.000014373103113030083","0.000014373103113030083"
"80","0.00001325754237768706","0.00001325754237768706","0.00001325754237768706"
"81","0.000012477379641495645","0.000012477379641495645","0.000012477379641495645"
"82","0.000011567370165721513","0.000011567370165721513","0.000011567370165721513"
"83","0.000010875558473344427","0.000010875558473344427","0.000010875558473344427"
"84","0.000010356889106333256","0.000010356889106333256","0.000010356889106333256"
"85","0.000009421027243661229","0.000009421027243661229","0.000009421027243661229"
"86","0.000009189188858726993","0.000009189188858726993","0.000009189188858726993"
"87","0.000008840506779961288","0.000008840506779961288","0.000008840506779961288"
"88","0.000008200800039048772","0.000008200800039048772","0.000008200800039048772"
"89","0.000007578421445941785","0.000007578421445941785","0.000007578421445941785"
"90","0.000007081207513692789","0.000007081207513692789","0.000007081207513692789"
"91","0.0000068886652115907054","0.0000068886652115907054","0.0000068886652115907054"
"92","0.0000065576373344811145","0.0000065576373344811145","0.0000065576373344811145"
"93","0.00000627082727078232","0.00000627082727078232","0.00000627082727078232"
"94","0.000006185915481182747","0.000006185915481182747","0.000006185915481182747"
"95","0.000005601955763268052","0.000005601955763268052","0.000005601955763268052"
"96","0.000005171201337361708","0.000005171201337361708","0.000005171201337361708"
"97","0.000005074333330412628","0.000005074333330412628","0.000005074333330412628"
"98","0.000004767773134517483","0.000004767773134517483","0.000004767773134517483"
"99","0.000005039847110310802","0.000005039847110310802","0.000005039847110310802"
"100","0.00000449007939096191","0.00000449007939096191","0.00000449007939096191"
"101","0.00000420518017563154","0.00000420518017563154","0.00000420518017563154"
"102","0.00000411380642617587","0.00000411380642617587","0.00000411380642617587"
