"Step","Ereacher_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W","Ereacher_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W__MIN","Ereacher_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W__MAX"
"0","0.021583983674645424","0.021583983674645424","0.021583983674645424"
"1","0.024873241782188416","0.024873241782188416","0.024873241782188416"
"2","0.02493956685066223","0.02493956685066223","0.02493956685066223"
"3","0.024453137069940567","0.024453137069940567","0.024453137069940567"
"4","0.023902859538793564","0.023902859538793564","0.023902859538793564"
"5","0.023342417553067207","0.023342417553067207","0.023342417553067207"
"6","0.022741837427020073","0.022741837427020073","0.022741837427020073"
"7","0.022076953202486038","0.022076953202486038","0.022076953202486038"
"8","0.021396992728114128","0.021396992728114128","0.021396992728114128"
"9","0.020707206800580025","0.020707206800580025","0.020707206800580025"
"10","0.02001119591295719","0.02001119591295719","0.02001119591295719"
"11","0.019314583390951157","0.019314583390951157","0.019314583390951157"
"12","0.018641503527760506","0.018641503527760506","0.018641503527760506"
"13","0.017984142526984215","0.017984142526984215","0.017984142526984215"
"14","0.01735132560133934","0.01735132560133934","0.01735132560133934"
"15","0.016748307272791862","0.016748307272791862","0.016748307272791862"
"16","0.0161562729626894","0.0161562729626894","0.0161562729626894"
"17","0.015576820820569992","0.015576820820569992","0.015576820820569992"
"18","0.01501998957246542","0.01501998957246542","0.01501998957246542"
"19","0.01448880322277546","0.01448880322277546","0.01448880322277546"
"20","0.013972477056086063","0.013972477056086063","0.013972477056086063"
"21","0.013481377623975277","0.013481377623975277","0.013481377623975277"
"22","0.013010723516345024","0.013010723516345024","0.013010723516345024"
"23","0.012557199224829674","0.012557199224829674","0.012557199224829674"
"24","0.012117145583033562","0.012117145583033562","0.012117145583033562"
"25","0.011689569801092148","0.011689569801092148","0.011689569801092148"
"26","0.0112841185182333","0.0112841185182333","0.0112841185182333"
"27","0.010894523933529854","0.010894523933529854","0.010894523933529854"
"28","0.01052536629140377","0.01052536629140377","0.01052536629140377"
"29","0.010165953077375889","0.010165953077375889","0.010165953077375889"
"30","0.009822700172662735","0.009822700172662735","0.009822700172662735"
"31","0.009489677846431732","0.009489677846431732","0.009489677846431732"
"32","0.009169325232505798","0.009169325232505798","0.009169325232505798"
"33","0.008858490735292435","0.008858490735292435","0.008858490735292435"
"34","0.008560308255255222","0.008560308255255222","0.008560308255255222"
"35","0.008272962644696236","0.008272962644696236","0.008272962644696236"
"36","0.0079948166385293","0.0079948166385293","0.0079948166385293"
"37","0.007725428324192762","0.007725428324192762","0.007725428324192762"
"38","0.007467405404895544","0.007467405404895544","0.007467405404895544"
"39","0.007218865677714348","0.007218865677714348","0.007218865677714348"
"40","0.006978752091526985","0.006978752091526985","0.006978752091526985"
"41","0.006750357802957296","0.006750357802957296","0.006750357802957296"
"42","0.0065302602015435696","0.0065302602015435696","0.0065302602015435696"
"43","0.006319783162325621","0.006319783162325621","0.006319783162325621"
"44","0.00611813273280859","0.00611813273280859","0.00611813273280859"
"45","0.005925455130636692","0.005925455130636692","0.005925455130636692"
"46","0.00573893403634429","0.00573893403634429","0.00573893403634429"
"47","0.0055591026321053505","0.0055591026321053505","0.0055591026321053505"
"48","0.005385895725339651","0.005385895725339651","0.005385895725339651"
"49","0.00521462969481945","0.00521462969481945","0.00521462969481945"
"50","0.005054709035903215","0.005054709035903215","0.005054709035903215"
"51","0.004901698790490627","0.004901698790490627","0.004901698790490627"
"52","0.004754376597702503","0.004754376597702503","0.004754376597702503"
"53","0.004613162018358707","0.004613162018358707","0.004613162018358707"
"54","0.004477279726415873","0.004477279726415873","0.004477279726415873"
"55","0.004345701541751623","0.004345701541751623","0.004345701541751623"
"56","0.004220048896968365","0.004220048896968365","0.004220048896968365"
"57","0.004097203724086285","0.004097203724086285","0.004097203724086285"
"58","0.003977807238698006","0.003977807238698006","0.003977807238698006"
"59","0.0038613593205809593","0.0038613593205809593","0.0038613593205809593"
"60","0.0037492946721613407","0.0037492946721613407","0.0037492946721613407"
"61","0.0036406894214451313","0.0036406894214451313","0.0036406894214451313"
"62","0.0035362436901777983","0.0035362436901777983","0.0035362436901777983"
"63","0.0034353681840002537","0.0034353681840002537","0.0034353681840002537"
"64","0.0033383227419108152","0.0033383227419108152","0.0033383227419108152"
"65","0.0032438046764582396","0.0032438046764582396","0.0032438046764582396"
"66","0.0031522579956799746","0.0031522579956799746","0.0031522579956799746"
"67","0.00306392228230834","0.00306392228230834","0.00306392228230834"
"68","0.0029783763457089663","0.0029783763457089663","0.0029783763457089663"
"69","0.0028950402047485113","0.0028950402047485113","0.0028950402047485113"
"70","0.002815098036080599","0.002815098036080599","0.002815098036080599"
"71","0.002738372189924121","0.002738372189924121","0.002738372189924121"
"72","0.0026645702309906483","0.0026645702309906483","0.0026645702309906483"
"73","0.0025921144988387823","0.0025921144988387823","0.0025921144988387823"
"74","0.002522183582186699","0.002522183582186699","0.002522183582186699"
"75","0.002454550238326192","0.002454550238326192","0.002454550238326192"
"76","0.0023883371613919735","0.0023883371613919735","0.0023883371613919735"
"77","0.002323616063222289","0.002323616063222289","0.002323616063222289"
"78","0.0022605357225984335","0.0022605357225984335","0.0022605357225984335"
"79","0.0021988810040056705","0.0021988810040056705","0.0021988810040056705"
"80","0.0021390006877481937","0.0021390006877481937","0.0021390006877481937"
"81","0.0020802970975637436","0.0020802970975637436","0.0020802970975637436"
"82","0.0020254289265722036","0.0020254289265722036","0.0020254289265722036"
"83","0.001973524456843734","0.001973524456843734","0.001973524456843734"
"84","0.0019231700571253896","0.0019231700571253896","0.0019231700571253896"
"85","0.0018741694511845708","0.0018741694511845708","0.0018741694511845708"
"86","0.001827511820010841","0.001827511820010841","0.001827511820010841"
"87","0.0017824700335040689","0.0017824700335040689","0.0017824700335040689"
"88","0.001738796941936016","0.001738796941936016","0.001738796941936016"
"89","0.0016968062845990062","0.0016968062845990062","0.0016968062845990062"
"90","0.0016561257652938366","0.0016561257652938366","0.0016561257652938366"
"91","0.0016165317501872778","0.0016165317501872778","0.0016165317501872778"
"92","0.0015780769754201174","0.0015780769754201174","0.0015780769754201174"
"93","0.001540826284326613","0.001540826284326613","0.001540826284326613"
"94","0.0015045416075736284","0.0015045416075736284","0.0015045416075736284"
"95","0.0014694652054458857","0.0014694652054458857","0.0014694652054458857"
"96","0.0014354668091982603","0.0014354668091982603","0.0014354668091982603"
"97","0.001402096007950604","0.001402096007950604","0.001402096007950604"
"98","0.001369762234389782","0.001369762234389782","0.001369762234389782"
"99","0.0013388508232310414","0.0013388508232310414","0.0013388508232310414"
"100","0.001308186212554574","0.001308186212554574","0.001308186212554574"
"101","0.0012781667755916715","0.0012781667755916715","0.0012781667755916715"
"102","0.0012505677295848727","0.0012505677295848727","0.0012505677295848727"
"103","0.001223802799358964","0.001223802799358964","0.001223802799358964"
"104","0.001197919831611216","0.001197919831611216","0.001197919831611216"
"105","0.0011727529345080256","0.0011727529345080256","0.0011727529345080256"
"106","0.001148642972111702","0.001148642972111702","0.001148642972111702"
"107","0.0011252688709646463","0.0011252688709646463","0.0011252688709646463"
"108","0.001102549023926258","0.001102549023926258","0.001102549023926258"
"109","0.0010802211472764611","0.0010802211472764611","0.0010802211472764611"
"110","0.0010584742994979024","0.0010584742994979024","0.0010584742994979024"
"111","0.0010370542295277119","0.0010370542295277119","0.0010370542295277119"
"112","0.0010160552337765694","0.0010160552337765694","0.0010160552337765694"
"113","0.0009963285410776734","0.0009963285410776734","0.0009963285410776734"
"114","0.000977067044004798","0.000977067044004798","0.000977067044004798"
"115","0.0009580870973877609","0.0009580870973877609","0.0009580870973877609"
"116","0.000939509249292314","0.000939509249292314","0.000939509249292314"
"117","0.0009214254096150398","0.0009214254096150398","0.0009214254096150398"
"118","0.0009041916928254068","0.0009041916928254068","0.0009041916928254068"
"119","0.0008876165375113487","0.0008876165375113487","0.0008876165375113487"
"120","0.0008715432486496866","0.0008715432486496866","0.0008715432486496866"
"121","0.0008557504625059664","0.0008557504625059664","0.0008557504625059664"
"122","0.0008404795662499964","0.0008404795662499964","0.0008404795662499964"
"123","0.0008259929600171745","0.0008259929600171745","0.0008259929600171745"
"124","0.0008122865110635757","0.0008122865110635757","0.0008122865110635757"
"125","0.0007990747690200806","0.0007990747690200806","0.0007990747690200806"
"126","0.0007844992796890438","0.0007844992796890438","0.0007844992796890438"
"127","0.0007704366580583155","0.0007704366580583155","0.0007704366580583155"
"128","0.0007575161289423704","0.0007575161289423704","0.0007575161289423704"
"129","0.0007452681311406195","0.0007452681311406195","0.0007452681311406195"
