"Step","Mno_relu_DS1000_W0.0015_lr0.01 - train.NRC2","Mno_relu_DS1000_W0.0015_lr0.01 - train.NRC2__MIN","Mno_relu_DS1000_W0.0015_lr0.01 - train.NRC2__MAX"
"0","0.8326143026351929","0.8326143026351929","0.8326143026351929"
"1","0.8233729004859924","0.8233729004859924","0.8233729004859924"
"2","0.8155046701431274","0.8155046701431274","0.8155046701431274"
"3","0.8116960525512695","0.8116960525512695","0.8116960525512695"
"4","0.7999684810638428","0.7999684810638428","0.7999684810638428"
"5","0.7472888231277466","0.7472888231277466","0.7472888231277466"
"6","0.613976001739502","0.613976001739502","0.613976001739502"
"7","0.45348474383354187","0.45348474383354187","0.45348474383354187"
"8","0.32848548889160156","0.32848548889160156","0.32848548889160156"
"9","0.24236774444580078","0.24236774444580078","0.24236774444580078"
"10","0.1842319518327713","0.1842319518327713","0.1842319518327713"
"11","0.14319179952144623","0.14319179952144623","0.14319179952144623"
"12","0.11264827102422714","0.11264827102422714","0.11264827102422714"
"13","0.08969615399837494","0.08969615399837494","0.08969615399837494"
"14","0.07199826091527939","0.07199826091527939","0.07199826091527939"
"15","0.058086153119802475","0.058086153119802475","0.058086153119802475"
"16","0.04710487648844719","0.04710487648844719","0.04710487648844719"
"17","0.038378216326236725","0.038378216326236725","0.038378216326236725"
"18","0.0312302578240633","0.0312302578240633","0.0312302578240633"
"19","0.025499608367681503","0.025499608367681503","0.025499608367681503"
"20","0.020868398249149323","0.020868398249149323","0.020868398249149323"
"21","0.017138969153165817","0.017138969153165817","0.017138969153165817"
"22","0.01410550158470869","0.01410550158470869","0.01410550158470869"
"23","0.011642716825008392","0.011642716825008392","0.011642716825008392"
"24","0.009650854393839836","0.009650854393839836","0.009650854393839836"
"25","0.00801896769553423","0.00801896769553423","0.00801896769553423"
"26","0.006693668197840452","0.006693668197840452","0.006693668197840452"
"27","0.005594420246779919","0.005594420246779919","0.005594420246779919"
"28","0.004685042891651392","0.004685042891651392","0.004685042891651392"
"29","0.00392675818875432","0.00392675818875432","0.00392675818875432"
"30","0.003293739864602685","0.003293739864602685","0.003293739864602685"
"31","0.0027627903036773205","0.0027627903036773205","0.0027627903036773205"
"32","0.0023176984395831823","0.0023176984395831823","0.0023176984395831823"
"33","0.0019459521863609552","0.0019459521863609552","0.0019459521863609552"
"34","0.0016326965996995568","0.0016326965996995568","0.0016326965996995568"
"35","0.0013703799340873957","0.0013703799340873957","0.0013703799340873957"
"36","0.0011512564960867167","0.0011512564960867167","0.0011512564960867167"
"37","0.0009687596466392279","0.0009687596466392279","0.0009687596466392279"
"38","0.0008170173969119787","0.0008170173969119787","0.0008170173969119787"
"39","0.0006895551341585815","0.0006895551341585815","0.0006895551341585815"
"40","0.0005825631087645888","0.0005825631087645888","0.0005825631087645888"
"41","0.0004924309905618429","0.0004924309905618429","0.0004924309905618429"
"42","0.0004168213636148721","0.0004168213636148721","0.0004168213636148721"
"43","0.0003528052766341716","0.0003528052766341716","0.0003528052766341716"
"44","0.000299207866191864","0.000299207866191864","0.000299207866191864"
"45","0.0002541805151849985","0.0002541805151849985","0.0002541805151849985"
"46","0.0002162844903068617","0.0002162844903068617","0.0002162844903068617"
"47","0.00018416250532027334","0.00018416250532027334","0.00018416250532027334"
"48","0.00015646536485292017","0.00015646536485292017","0.00015646536485292017"
"49","0.0001331081730313599","0.0001331081730313599","0.0001331081730313599"
"50","0.0001133397308876738","0.0001133397308876738","0.0001133397308876738"
"51","0.00009637226321501657","0.00009637226321501657","0.00009637226321501657"
"52","0.000082146238128189","0.000082146238128189","0.000082146238128189"
"53","0.00006996842421358451","0.00006996842421358451","0.00006996842421358451"
"54","0.000059755551774287596","0.000059755551774287596","0.000059755551774287596"
