"Step","Mno_relu_DS1000_W0.0015_lr0.01 - validation.prediction_error","Mno_relu_DS1000_W0.0015_lr0.01 - validation.prediction_error__MIN","Mno_relu_DS1000_W0.0015_lr0.01 - validation.prediction_error__MAX"
"0","0.017606735229492188","0.017606735229492188","0.017606735229492188"
"1","0.0036171921528875828","0.0036171921528875828","0.0036171921528875828"
"2","0.0033219342585653067","0.0033219342585653067","0.0033219342585653067"
"3","0.0032975394278764725","0.0032975394278764725","0.0032975394278764725"
"4","0.0033488308545202017","0.0033488308545202017","0.0033488308545202017"
"5","0.0034241194371134043","0.0034241194371134043","0.0034241194371134043"
"6","0.00351450452581048","0.00351450452581048","0.00351450452581048"
"7","0.003610069863498211","0.003610069863498211","0.003610069863498211"
"8","0.00370546942576766","0.00370546942576766","0.00370546942576766"
"9","0.003807298606261611","0.003807298606261611","0.003807298606261611"
"10","0.0039027202874422073","0.0039027202874422073","0.0039027202874422073"
"11","0.003996186424046755","0.003996186424046755","0.003996186424046755"
"12","0.004082245286554098","0.004082245286554098","0.004082245286554098"
"13","0.004160281270742416","0.004160281270742416","0.004160281270742416"
"14","0.0042268563993275166","0.0042268563993275166","0.0042268563993275166"
"15","0.00428348733112216","0.00428348733112216","0.00428348733112216"
"16","0.004332160577178001","0.004332160577178001","0.004332160577178001"
"17","0.004376105032861233","0.004376105032861233","0.004376105032861233"
"18","0.004418272525072098","0.004418272525072098","0.004418272525072098"
"19","0.004454216454178095","0.004454216454178095","0.004454216454178095"
"20","0.004483363125473261","0.004483363125473261","0.004483363125473261"
"21","0.0045074052177369595","0.0045074052177369595","0.0045074052177369595"
"22","0.0045309411361813545","0.0045309411361813545","0.0045309411361813545"
"23","0.004550999496132135","0.004550999496132135","0.004550999496132135"
"24","0.004570608958601952","0.004570608958601952","0.004570608958601952"
"25","0.004588194191455841","0.004588194191455841","0.004588194191455841"
"26","0.0046047004871070385","0.0046047004871070385","0.0046047004871070385"
"27","0.004621753003448248","0.004621753003448248","0.004621753003448248"
"28","0.004637761972844601","0.004637761972844601","0.004637761972844601"
"29","0.004650448448956013","0.004650448448956013","0.004650448448956013"
"30","0.0046633039601147175","0.0046633039601147175","0.0046633039601147175"
"31","0.0046751550398766994","0.0046751550398766994","0.0046751550398766994"
"32","0.004686757456511259","0.004686757456511259","0.004686757456511259"
"33","0.004697514697909355","0.004697514697909355","0.004697514697909355"
"34","0.004706945735961199","0.004706945735961199","0.004706945735961199"
"35","0.004715793300420046","0.004715793300420046","0.004715793300420046"
"36","0.00472303619608283","0.00472303619608283","0.00472303619608283"
"37","0.004728848114609718","0.004728848114609718","0.004728848114609718"
"38","0.004734761547297239","0.004734761547297239","0.004734761547297239"
"39","0.004738837946206331","0.004738837946206331","0.004738837946206331"
"40","0.0047418586909770966","0.0047418586909770966","0.0047418586909770966"
"41","0.004746772348880768","0.004746772348880768","0.004746772348880768"
"42","0.004749421961605549","0.004749421961605549","0.004749421961605549"
"43","0.004750577732920647","0.004750577732920647","0.004750577732920647"
"44","0.00475153187289834","0.00475153187289834","0.00475153187289834"
"45","0.004751116968691349","0.004751116968691349","0.004751116968691349"
"46","0.004750382155179977","0.004750382155179977","0.004750382155179977"
"47","0.00474906899034977","0.00474906899034977","0.00474906899034977"
"48","0.004748956765979528","0.004748956765979528","0.004748956765979528"
"49","0.004747999832034111","0.004747999832034111","0.004747999832034111"
"50","0.004747406113892794","0.004747406113892794","0.004747406113892794"
"51","0.0047458927147090435","0.0047458927147090435","0.0047458927147090435"
"52","0.004744837060570717","0.004744837060570717","0.004744837060570717"
"53","0.004742181859910488","0.004742181859910488","0.004742181859910488"
"54","0.004738562274724245","0.004738562274724245","0.004738562274724245"
"55","0.004735530819743872","0.004735530819743872","0.004735530819743872"
"56","0.004732946865260601","0.004732946865260601","0.004732946865260601"
"57","0.004731409251689911","0.004731409251689911","0.004731409251689911"
"58","0.004729206208139658","0.004729206208139658","0.004729206208139658"
"59","0.004726696759462357","0.004726696759462357","0.004726696759462357"
"60","0.0047266376204788685","0.0047266376204788685","0.0047266376204788685"
"61","0.0047255950048565865","0.0047255950048565865","0.0047255950048565865"
"62","0.004725218750536442","0.004725218750536442","0.004725218750536442"
"63","0.004723482299596071","0.004723482299596071","0.004723482299596071"
"64","0.00471967039629817","0.00471967039629817","0.00471967039629817"
"65","0.00471658818423748","0.00471658818423748","0.00471658818423748"
"66","0.004713681526482105","0.004713681526482105","0.004713681526482105"
"67","0.004711000248789787","0.004711000248789787","0.004711000248789787"
"68","0.004708198830485344","0.004708198830485344","0.004708198830485344"
"69","0.004705300088971853","0.004705300088971853","0.004705300088971853"
"70","0.004702959209680557","0.004702959209680557","0.004702959209680557"
"71","0.004701332654803991","0.004701332654803991","0.004701332654803991"
"72","0.004700333345681429","0.004700333345681429","0.004700333345681429"
"73","0.004700149409472942","0.004700149409472942","0.004700149409472942"
"74","0.004699483048170805","0.004699483048170805","0.004699483048170805"
"75","0.004698086995631456","0.004698086995631456","0.004698086995631456"
"76","0.004697396885603666","0.004697396885603666","0.004697396885603666"
"77","0.004696804564446211","0.004696804564446211","0.004696804564446211"
"78","0.0046957992017269135","0.0046957992017269135","0.0046957992017269135"
"79","0.0046942816115915775","0.0046942816115915775","0.0046942816115915775"
"80","0.0046927062794566154","0.0046927062794566154","0.0046927062794566154"
"81","0.004691214766353369","0.004691214766353369","0.004691214766353369"
"82","0.00468964921310544","0.00468964921310544","0.00468964921310544"
"83","0.00468849204480648","0.00468849204480648","0.00468849204480648"
"84","0.004687146749347448","0.004687146749347448","0.004687146749347448"
"85","0.004685541149228811","0.004685541149228811","0.004685541149228811"
"86","0.0046842265874147415","0.0046842265874147415","0.0046842265874147415"
"87","0.004682755097746849","0.004682755097746849","0.004682755097746849"
"88","0.004681368358433247","0.004681368358433247","0.004681368358433247"
"89","0.004679844249039888","0.004679844249039888","0.004679844249039888"
"90","0.004678197205066681","0.004678197205066681","0.004678197205066681"
"91","0.004677153192460537","0.004677153192460537","0.004677153192460537"
"92","0.00467643653973937","0.00467643653973937","0.00467643653973937"
"93","0.00467519648373127","0.00467519648373127","0.00467519648373127"
"94","0.0046742078848183155","0.0046742078848183155","0.0046742078848183155"
"95","0.004673017654567957","0.004673017654567957","0.004673017654567957"
"96","0.004672368988394737","0.004672368988394737","0.004672368988394737"
"97","0.004671712871640921","0.004671712871640921","0.004671712871640921"
"98","0.004670667927712202","0.004670667927712202","0.004670667927712202"
"99","0.004669728688895702","0.004669728688895702","0.004669728688895702"
"100","0.004668626934289932","0.004668626934289932","0.004668626934289932"
"101","0.004668412730097771","0.004668412730097771","0.004668412730097771"
"102","0.004667672794312239","0.004667672794312239","0.004667672794312239"
"103","0.004666426684707403","0.004666426684707403","0.004666426684707403"
"104","0.004665795248001814","0.004665795248001814","0.004665795248001814"
"105","0.004664848558604717","0.004664848558604717","0.004664848558604717"
"106","0.004664195701479912","0.004664195701479912","0.004664195701479912"
"107","0.004663568455725908","0.004663568455725908","0.004663568455725908"
"108","0.004662585910409689","0.004662585910409689","0.004662585910409689"
"109","0.004662363789975643","0.004662363789975643","0.004662363789975643"
"110","0.004661921411752701","0.004661921411752701","0.004661921411752701"
"111","0.004661375191062689","0.004661375191062689","0.004661375191062689"
"112","0.004661278799176216","0.004661278799176216","0.004661278799176216"
"113","0.0046607195399701595","0.0046607195399701595","0.0046607195399701595"
"114","0.004660352598875761","0.004660352598875761","0.004660352598875761"
"115","0.0046600596979260445","0.0046600596979260445","0.0046600596979260445"
"116","0.00465945852920413","0.00465945852920413","0.00465945852920413"
"117","0.004658705089241266","0.004658705089241266","0.004658705089241266"
"118","0.004658325109630823","0.004658325109630823","0.004658325109630823"
"119","0.004657693672925234","0.004657693672925234","0.004657693672925234"
"120","0.00465717539191246","0.00465717539191246","0.00465717539191246"
"121","0.004656713455915451","0.004656713455915451","0.004656713455915451"
"122","0.0046562873758375645","0.0046562873758375645","0.0046562873758375645"
"123","0.004655986558645964","0.004655986558645964","0.004655986558645964"
"124","0.004654977936297655","0.004654977936297655","0.004654977936297655"
"125","0.004654821008443832","0.004654821008443832","0.004654821008443832"
"126","0.004654116462916136","0.004654116462916136","0.004654116462916136"
"127","0.004653176758438349","0.004653176758438349","0.004653176758438349"
"128","0.004652899689972401","0.004652899689972401","0.004652899689972401"
"129","0.0046526044607162476","0.0046526044607162476","0.0046526044607162476"
"130","0.004652228206396103","0.004652228206396103","0.004652228206396103"
"131","0.004651814233511686","0.004651814233511686","0.004651814233511686"
"132","0.004651370458304882","0.004651370458304882","0.004651370458304882"
"133","0.004650986287742853","0.004650986287742853","0.004650986287742853"
"134","0.004650794435292482","0.004650794435292482","0.004650794435292482"
"135","0.004650813527405262","0.004650813527405262","0.004650813527405262"
"136","0.004650588147342205","0.004650588147342205","0.004650588147342205"
"137","0.004650447983294725","0.004650447983294725","0.004650447983294725"
"138","0.00465051457285881","0.00465051457285881","0.00465051457285881"
"139","0.004649953451007605","0.004649953451007605","0.004649953451007605"
"140","0.004649988375604153","0.004649988375604153","0.004649988375604153"
"141","0.004649782087653875","0.004649782087653875","0.004649782087653875"
"142","0.004649813752621412","0.004649813752621412","0.004649813752621412"
"143","0.004649414215236902","0.004649414215236902","0.004649414215236902"
"144","0.004649265669286251","0.004649265669286251","0.004649265669286251"
"145","0.0046492223627865314","0.0046492223627865314","0.0046492223627865314"
"146","0.004648990463465452","0.004648990463465452","0.004648990463465452"
"147","0.004648794885724783","0.004648794885724783","0.004648794885724783"
"148","0.004649074748158455","0.004649074748158455","0.004649074748158455"
"149","0.0046487911604344845","0.0046487911604344845","0.0046487911604344845"
"150","0.004648702684789896","0.004648702684789896","0.004648702684789896"
"151","0.004648429341614246","0.004648429341614246","0.004648429341614246"
"152","0.004648461472243071","0.004648461472243071","0.004648461472243071"
"153","0.004648278467357159","0.004648278467357159","0.004648278467357159"
"154","0.0046481057070195675","0.0046481057070195675","0.0046481057070195675"
"155","0.004648207221180201","0.004648207221180201","0.004648207221180201"
"156","0.004648012574762106","0.004648012574762106","0.004648012574762106"
"157","0.004648107104003429","0.004648107104003429","0.004648107104003429"
"158","0.004647941794246435","0.004647941794246435","0.004647941794246435"
"159","0.004647976253181696","0.004647976253181696","0.004647976253181696"
"160","0.0046477545984089375","0.0046477545984089375","0.0046477545984089375"
"161","0.004647963214665651","0.004647963214665651","0.004647963214665651"
"162","0.0046477909199893475","0.0046477909199893475","0.0046477909199893475"
"163","0.004647676832973957","0.004647676832973957","0.004647676832973957"
"164","0.004647793713957071","0.004647793713957071","0.004647793713957071"
"165","0.004648145288228989","0.004648145288228989","0.004648145288228989"
"166","0.004647689405828714","0.004647689405828714","0.004647689405828714"
"167","0.004647367633879185","0.004647367633879185","0.004647367633879185"
"168","0.004647495225071907","0.004647495225071907","0.004647495225071907"
"169","0.004647128749638796","0.004647128749638796","0.004647128749638796"
"170","0.004647235386073589","0.004647235386073589","0.004647235386073589"
"171","0.0046471948735415936","0.0046471948735415936","0.0046471948735415936"
"172","0.004647122696042061","0.004647122696042061","0.004647122696042061"
"173","0.004647150170058012","0.004647150170058012","0.004647150170058012"
"174","0.004647036083042622","0.004647036083042622","0.004647036083042622"
"175","0.00464702257886529","0.00464702257886529","0.00464702257886529"
"176","0.004647092428058386","0.004647092428058386","0.004647092428058386"
"177","0.004646741319447756","0.004646741319447756","0.004646741319447756"
"178","0.004646846558898687","0.004646846558898687","0.004646846558898687"
"179","0.00464687729254365","0.00464687729254365","0.00464687729254365"
"180","0.00464728195220232","0.00464728195220232","0.00464728195220232"
"181","0.004646779969334602","0.004646779969334602","0.004646779969334602"
"182","0.004646715708076954","0.004646715708076954","0.004646715708076954"
"183","0.004646905232220888","0.004646905232220888","0.004646905232220888"
"184","0.004646834917366505","0.004646834917366505","0.004646834917366505"
"185","0.004646677058190107","0.004646677058190107","0.004646677058190107"
"186","0.0046468074433505535","0.0046468074433505535","0.0046468074433505535"
"187","0.004646670073270798","0.004646670073270798","0.004646670073270798"
"188","0.004646786488592625","0.004646786488592625","0.004646786488592625"
"189","0.004646721296012402","0.004646721296012402","0.004646721296012402"
"190","0.004646837245672941","0.004646837245672941","0.004646837245672941"
"191","0.00464673712849617","0.00464673712849617","0.00464673712849617"
"192","0.004646549932658672","0.004646549932658672","0.004646549932658672"
"193","0.004646525252610445","0.004646525252610445","0.004646525252610445"
"194","0.004646786954253912","0.004646786954253912","0.004646786954253912"
"195","0.004646561574190855","0.004646561574190855","0.004646561574190855"
"196","0.004646822810173035","0.004646822810173035","0.004646822810173035"
"197","0.004646627232432365","0.004646627232432365","0.004646627232432365"
"198","0.00464645167812705","0.00464645167812705","0.00464645167812705"
"199","0.0046462202444672585","0.0046462202444672585","0.0046462202444672585"
"200","0.004646529909223318","0.004646529909223318","0.004646529909223318"
