"Step","Mno_relu_DS1000_W0.0015_lr0.01 - train_mse_loss","Mno_relu_DS1000_W0.0015_lr0.01 - train_mse_loss__MIN","Mno_relu_DS1000_W0.0015_lr0.01 - train_mse_loss__MAX"
"1","0.0016061271890066564","0.0016061271890066564","0.0016061271890066564"
"2","0.0014898305526003242","0.0014898305526003242","0.0014898305526003242"
"3","0.001502210070611909","0.001502210070611909","0.001502210070611909"
"4","0.0015314407646656036","0.0015314407646656036","0.0015314407646656036"
"5","0.0015837335959076881","0.0015837335959076881","0.0015837335959076881"
"6","0.001632668514503166","0.001632668514503166","0.001632668514503166"
"7","0.0016942262009251863","0.0016942262009251863","0.0016942262009251863"
"8","0.0017426481936126947","0.0017426481936126947","0.0017426481936126947"
"9","0.0017907995206769556","0.0017907995206769556","0.0017907995206769556"
"10","0.0018239666533190757","0.0018239666533190757","0.0018239666533190757"
"11","0.0018829239124897867","0.0018829239124897867","0.0018829239124897867"
"12","0.0019232427584938705","0.0019232427584938705","0.0019232427584938705"
"13","0.001964357477845624","0.001964357477845624","0.001964357477845624"
"14","0.0020022919052280486","0.0020022919052280486","0.0020022919052280486"
"15","0.0020220131264068186","0.0020220131264068186","0.0020220131264068186"
"16","0.0020371722348500043","0.0020371722348500043","0.0020371722348500043"
"17","0.0020761375199072063","0.0020761375199072063","0.0020761375199072063"
"18","0.0020951215410605073","0.0020951215410605073","0.0020951215410605073"
"19","0.0020936838118359447","0.0020936838118359447","0.0020936838118359447"
"20","0.00212310379720293","0.00212310379720293","0.00212310379720293"
"21","0.0021295357146300375","0.0021295357146300375","0.0021295357146300375"
"22","0.0021513767424039543","0.0021513767424039543","0.0021513767424039543"
"23","0.0021542141621466726","0.0021542141621466726","0.0021542141621466726"
"24","0.002165087091270834","0.002165087091270834","0.002165087091270834"
"25","0.0021777570073027164","0.0021777570073027164","0.0021777570073027164"
"26","0.002184301381930709","0.002184301381930709","0.002184301381930709"
"27","0.00218264214345254","0.00218264214345254","0.00218264214345254"
