"Step","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - validation.prediction_error","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - validation.prediction_error__MIN","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - validation.prediction_error__MAX"
"0","1.3960422277450562","1.3960422277450562","1.3960422277450562"
"1","0.3264720141887665","0.3264720141887665","0.3264720141887665"
"2","0.3312528729438782","0.3312528729438782","0.3312528729438782"
"3","0.33072707056999207","0.33072707056999207","0.33072707056999207"
"4","0.3285697102546692","0.3285697102546692","0.3285697102546692"
"5","0.3257059156894684","0.3257059156894684","0.3257059156894684"
"6","0.3231748938560486","0.3231748938560486","0.3231748938560486"
"7","0.32079124450683594","0.32079124450683594","0.32079124450683594"
"8","0.31848475337028503","0.31848475337028503","0.31848475337028503"
"9","0.31651943922042847","0.31651943922042847","0.31651943922042847"
"10","0.31462523341178894","0.31462523341178894","0.31462523341178894"
"11","0.3131161630153656","0.3131161630153656","0.3131161630153656"
"12","0.3116248846054077","0.3116248846054077","0.3116248846054077"
"13","0.3104151487350464","0.3104151487350464","0.3104151487350464"
"14","0.3091062307357788","0.3091062307357788","0.3091062307357788"
"15","0.30815762281417847","0.30815762281417847","0.30815762281417847"
"16","0.3071482181549072","0.3071482181549072","0.3071482181549072"
"17","0.3061172366142273","0.3061172366142273","0.3061172366142273"
"18","0.30550551414489746","0.30550551414489746","0.30550551414489746"
"19","0.30475351214408875","0.30475351214408875","0.30475351214408875"
"20","0.3042246103286743","0.3042246103286743","0.3042246103286743"
"21","0.3037354648113251","0.3037354648113251","0.3037354648113251"
"22","0.30329298973083496","0.30329298973083496","0.30329298973083496"
"23","0.30280402302742004","0.30280402302742004","0.30280402302742004"
"24","0.302511066198349","0.302511066198349","0.302511066198349"
"25","0.30217963457107544","0.30217963457107544","0.30217963457107544"
"26","0.30188125371932983","0.30188125371932983","0.30188125371932983"
"27","0.3017609119415283","0.3017609119415283","0.3017609119415283"
"28","0.30157697200775146","0.30157697200775146","0.30157697200775146"
"29","0.3017023801803589","0.3017023801803589","0.3017023801803589"
"30","0.301552414894104","0.301552414894104","0.301552414894104"
"31","0.3018580973148346","0.3018580973148346","0.3018580973148346"
"32","0.30184781551361084","0.30184781551361084","0.30184781551361084"
"33","0.30158719420433044","0.30158719420433044","0.30158719420433044"
"34","0.30140528082847595","0.30140528082847595","0.30140528082847595"
"35","0.3010905385017395","0.3010905385017395","0.3010905385017395"
"36","0.30104345083236694","0.30104345083236694","0.30104345083236694"
"37","0.30097222328186035","0.30097222328186035","0.30097222328186035"
"38","0.30098018050193787","0.30098018050193787","0.30098018050193787"
"39","0.30087047815322876","0.30087047815322876","0.30087047815322876"
"40","0.300807923078537","0.300807923078537","0.300807923078537"
"41","0.30078643560409546","0.30078643560409546","0.30078643560409546"
"42","0.3008049428462982","0.3008049428462982","0.3008049428462982"
"43","0.30070725083351135","0.30070725083351135","0.30070725083351135"
"44","0.30065226554870605","0.30065226554870605","0.30065226554870605"
"45","0.3005525469779968","0.3005525469779968","0.3005525469779968"
"46","0.30082449316978455","0.30082449316978455","0.30082449316978455"
"47","0.3007325232028961","0.3007325232028961","0.3007325232028961"
"48","0.3006795644760132","0.3006795644760132","0.3006795644760132"
"49","0.3008573353290558","0.3008573353290558","0.3008573353290558"
"50","0.3006592094898224","0.3006592094898224","0.3006592094898224"
"51","0.3007364571094513","0.3007364571094513","0.3007364571094513"
"52","0.3006258010864258","0.3006258010864258","0.3006258010864258"
"53","0.30076491832733154","0.30076491832733154","0.30076491832733154"
"54","0.300756573677063","0.300756573677063","0.300756573677063"
"55","0.3007116913795471","0.3007116913795471","0.3007116913795471"
"56","0.300805002450943","0.300805002450943","0.300805002450943"
"57","0.3008546829223633","0.3008546829223633","0.3008546829223633"
"58","0.30077826976776123","0.30077826976776123","0.30077826976776123"
"59","0.30067962408065796","0.30067962408065796","0.30067962408065796"
"60","0.3006477653980255","0.3006477653980255","0.3006477653980255"
"61","0.3007974922657013","0.3007974922657013","0.3007974922657013"
"62","0.3006545305252075","0.3006545305252075","0.3006545305252075"
"63","0.3008478879928589","0.3008478879928589","0.3008478879928589"
"64","0.3007768392562866","0.3007768392562866","0.3007768392562866"
"65","0.30083605647087097","0.30083605647087097","0.30083605647087097"
"66","0.30083155632019043","0.30083155632019043","0.30083155632019043"
"67","0.300932377576828","0.300932377576828","0.300932377576828"
"68","0.3007366955280304","0.3007366955280304","0.3007366955280304"
"69","0.3008008599281311","0.3008008599281311","0.3008008599281311"
"70","0.30080628395080566","0.30080628395080566","0.30080628395080566"
"71","0.30095943808555603","0.30095943808555603","0.30095943808555603"
"72","0.3008498251438141","0.3008498251438141","0.3008498251438141"
"73","0.3008362352848053","0.3008362352848053","0.3008362352848053"
"74","0.30078884959220886","0.30078884959220886","0.30078884959220886"
"75","0.3009685277938843","0.3009685277938843","0.3009685277938843"
"76","0.300820529460907","0.300820529460907","0.300820529460907"
"77","0.30085015296936035","0.30085015296936035","0.30085015296936035"
"78","0.30098479986190796","0.30098479986190796","0.30098479986190796"
"79","0.30106043815612793","0.30106043815612793","0.30106043815612793"
"80","0.3011477589607239","0.3011477589607239","0.3011477589607239"
"81","0.30114489793777466","0.30114489793777466","0.30114489793777466"
"82","0.3011172413825989","0.3011172413825989","0.3011172413825989"
"83","0.30117523670196533","0.30117523670196533","0.30117523670196533"
"84","0.30111458897590637","0.30111458897590637","0.30111458897590637"
"85","0.30111169815063477","0.30111169815063477","0.30111169815063477"
"86","0.30122578144073486","0.30122578144073486","0.30122578144073486"
"87","0.3012273907661438","0.3012273907661438","0.3012273907661438"
"88","0.3012644052505493","0.3012644052505493","0.3012644052505493"
"89","0.30119842290878296","0.30119842290878296","0.30119842290878296"
"90","0.30133160948753357","0.30133160948753357","0.30133160948753357"
"91","0.30128827691078186","0.30128827691078186","0.30128827691078186"
"92","0.30124977231025696","0.30124977231025696","0.30124977231025696"
"93","0.30130988359451294","0.30130988359451294","0.30130988359451294"
"94","0.3013209402561188","0.3013209402561188","0.3013209402561188"
"95","0.3013155460357666","0.3013155460357666","0.3013155460357666"
"96","0.3013341426849365","0.3013341426849365","0.3013341426849365"
"97","0.30136674642562866","0.30136674642562866","0.30136674642562866"
"98","0.3013729155063629","0.3013729155063629","0.3013729155063629"
"99","0.30129945278167725","0.30129945278167725","0.30129945278167725"
"100","0.3013940155506134","0.3013940155506134","0.3013940155506134"
"101","0.3014184236526489","0.3014184236526489","0.3014184236526489"
"102","0.3014155328273773","0.3014155328273773","0.3014155328273773"
"103","0.3014465272426605","0.3014465272426605","0.3014465272426605"
"104","0.30138343572616577","0.30138343572616577","0.30138343572616577"
"105","0.30140525102615356","0.30140525102615356","0.30140525102615356"
"106","0.3015625476837158","0.3015625476837158","0.3015625476837158"
"107","0.3015263080596924","0.3015263080596924","0.3015263080596924"
"108","0.30161598324775696","0.30161598324775696","0.30161598324775696"
"109","0.3015977144241333","0.3015977144241333","0.3015977144241333"
"110","0.30157411098480225","0.30157411098480225","0.30157411098480225"
"111","0.3015820384025574","0.3015820384025574","0.3015820384025574"
"112","0.30148518085479736","0.30148518085479736","0.30148518085479736"
"113","0.3014858067035675","0.3014858067035675","0.3014858067035675"
"114","0.3015703856945038","0.3015703856945038","0.3015703856945038"
"115","0.3015333414077759","0.3015333414077759","0.3015333414077759"
"116","0.3015618920326233","0.3015618920326233","0.3015618920326233"
"117","0.30165034532546997","0.30165034532546997","0.30165034532546997"
"118","0.3016388416290283","0.3016388416290283","0.3016388416290283"
"119","0.3017292618751526","0.3017292618751526","0.3017292618751526"
"120","0.3015608489513397","0.3015608489513397","0.3015608489513397"
"121","0.30168959498405457","0.30168959498405457","0.30168959498405457"
"122","0.30156806111335754","0.30156806111335754","0.30156806111335754"
"123","0.3017584979534149","0.3017584979534149","0.3017584979534149"
"124","0.3017359972000122","0.3017359972000122","0.3017359972000122"
"125","0.301704078912735","0.301704078912735","0.301704078912735"
"126","0.3017432391643524","0.3017432391643524","0.3017432391643524"
"127","0.3017197847366333","0.3017197847366333","0.3017197847366333"
"128","0.30184879899024963","0.30184879899024963","0.30184879899024963"
"129","0.3018249571323395","0.3018249571323395","0.3018249571323395"
"130","0.3018452823162079","0.3018452823162079","0.3018452823162079"
"131","0.30185192823410034","0.30185192823410034","0.30185192823410034"
"132","0.30187857151031494","0.30187857151031494","0.30187857151031494"
"133","0.30188533663749695","0.30188533663749695","0.30188533663749695"
"134","0.3017982840538025","0.3017982840538025","0.3017982840538025"
"135","0.30186790227890015","0.30186790227890015","0.30186790227890015"
