"NRC3","_defaultColorIndex","c","id","lamW","name"
"0.11617104269061392","15","0","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.11258227288953998","15","0.00027591938729042766","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.11103718125703359","15","0.0005518387745808553","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10982721616195167","15","0.0008277581618712829","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10879027047620891","15","0.0011036775491617106","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10786360104639658","15","0.0013795969364521384","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10701505257441697","15","0.0016555163237425658","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10622553678202773","15","0.0019314357110329936","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10548262521234214","15","0.0022073550983234213","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.1047776909321223","15","0.0024832744856138488","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10410445697116716","15","0.0027591938729042767","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10345818789585313","15","0.003035113260194704","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10283520718414177","15","0.0033110326474851317","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
"0.10223259301109366","15","0.0035869520347755596","c9a9c38f-2936-41dd-a06b-0c68bdab462f","0.025","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01"
