"Step","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train_mse_loss","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train_mse_loss__MIN","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train_mse_loss__MAX"
"1","0.07867234200239182","0.07867234200239182","0.07867234200239182"
"2","0.08041677437722683","0.08041677437722683","0.08041677437722683"
"3","0.08081293851137161","0.08081293851137161","0.08081293851137161"
"4","0.08113766647875309","0.08113766647875309","0.08113766647875309"
"5","0.08037681132555008","0.08037681132555008","0.08037681132555008"
"6","0.07987975515425205","0.07987975515425205","0.07987975515425205"
"7","0.07977452129125595","0.07977452129125595","0.07977452129125595"
"8","0.07948623597621918","0.07948623597621918","0.07948623597621918"
"9","0.0795318391174078","0.0795318391174078","0.0795318391174078"
"10","0.07917265966534615","0.07917265966534615","0.07917265966534615"
"11","0.07896756380796432","0.07896756380796432","0.07896756380796432"
"12","0.07846782263368368","0.07846782263368368","0.07846782263368368"
"13","0.07871240563690662","0.07871240563690662","0.07871240563690662"
"14","0.0789820421487093","0.0789820421487093","0.0789820421487093"
"15","0.07839744165539742","0.07839744165539742","0.07839744165539742"
"16","0.07831340283155441","0.07831340283155441","0.07831340283155441"
"17","0.07840616628527641","0.07840616628527641","0.07840616628527641"
"18","0.0786037016659975","0.0786037016659975","0.0786037016659975"
"19","0.07819748856127262","0.07819748856127262","0.07819748856127262"
"20","0.07796665281057358","0.07796665281057358","0.07796665281057358"
"21","0.0782527457922697","0.0782527457922697","0.0782527457922697"
"22","0.07822823897004128","0.07822823897004128","0.07822823897004128"
"23","0.0781903862953186","0.0781903862953186","0.0781903862953186"
"24","0.0785165186971426","0.0785165186971426","0.0785165186971426"
"25","0.0782078430056572","0.0782078430056572","0.0782078430056572"
"26","0.07777858525514603","0.07777858525514603","0.07777858525514603"
"27","0.07841196469962597","0.07841196469962597","0.07841196469962597"
"28","0.0783613845705986","0.0783613845705986","0.0783613845705986"
"29","0.07773691602051258","0.07773691602051258","0.07773691602051258"
"30","0.07799111679196358","0.07799111679196358","0.07799111679196358"
"31","0.07792416028678417","0.07792416028678417","0.07792416028678417"
"32","0.07808541506528854","0.07808541506528854","0.07808541506528854"
"33","0.07789070531725883","0.07789070531725883","0.07789070531725883"
"34","0.07765753846615553","0.07765753846615553","0.07765753846615553"
"35","0.07821180298924446","0.07821180298924446","0.07821180298924446"
"36","0.07811593543738127","0.07811593543738127","0.07811593543738127"
"37","0.07833688147366047","0.07833688147366047","0.07833688147366047"
"38","0.0780010987073183","0.0780010987073183","0.0780010987073183"
"39","0.07802335545420647","0.07802335545420647","0.07802335545420647"
"40","0.07793239317834377","0.07793239317834377","0.07793239317834377"
"41","0.07802214659750462","0.07802214659750462","0.07802214659750462"
"42","0.07826368138194084","0.07826368138194084","0.07826368138194084"
"43","0.0781421884894371","0.0781421884894371","0.0781421884894371"
