"Step","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train.NRC2","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train.NRC2__MIN","Eswimmer_Mno_relu_DS1000_W0.025_lr0.01 - train.NRC2__MAX"
"0","0.8098718523979187","0.8098718523979187","0.8098718523979187"
"1","0.009923516772687435","0.009923516772687435","0.009923516772687435"
"2","0.0005187087808735669","0.0005187087808735669","0.0005187087808735669"
"3","0.00003905610356014222","0.00003905610356014222","0.00003905610356014222"
"4","0.0000032472767088620458","0.0000032472767088620458","0.0000032472767088620458"
"5","0.0000012884291891168687","0.0000012884291891168687","0.0000012884291891168687"
"6","0.0000011894759381902986","0.0000011894759381902986","0.0000011894759381902986"
"7","0.0000011851468570966972","0.0000011851468570966972","0.0000011851468570966972"
"8","0.000001125871222029673","0.000001125871222029673","0.000001125871222029673"
"9","0.000001161406885330507","0.000001161406885330507","0.000001161406885330507"
"10","0.0000011545554343683762","0.0000011545554343683762","0.0000011545554343683762"
"11","0.0000010916470500887954","0.0000010916470500887954","0.0000010916470500887954"
"12","0.000001085942926692951","0.000001085942926692951","0.000001085942926692951"
"13","0.0000011251075875406968","0.0000011251075875406968","0.0000011251075875406968"
"14","0.000001132861484620662","0.000001132861484620662","0.000001132861484620662"
"15","0.0000012345501545496518","0.0000012345501545496518","0.0000012345501545496518"
"16","0.000001294247681471461","0.000001294247681471461","0.000001294247681471461"
"17","0.0000011157455901411595","0.0000011157455901411595","0.0000011157455901411595"
"18","0.0000012459653362384415","0.0000012459653362384415","0.0000012459653362384415"
"19","0.0000012429528624124941","0.0000012429528624124941","0.0000012429528624124941"
"20","0.0000012146462040618644","0.0000012146462040618644","0.0000012146462040618644"
"21","0.000001246545480171335","0.000001246545480171335","0.000001246545480171335"
"22","0.0000011474749044282362","0.0000011474749044282362","0.0000011474749044282362"
"23","0.0000012166029819127289","0.0000012166029819127289","0.0000012166029819127289"
"24","0.0000011565114164113766","0.0000011565114164113766","0.0000011565114164113766"
"25","0.0000012581126611621585","0.0000012581126611621585","0.0000012581126611621585"
"26","0.0000011929012089240132","0.0000011929012089240132","0.0000011929012089240132"
"27","0.0000010749291732281563","0.0000010749291732281563","0.0000010749291732281563"
"28","0.0000012810601219825912","0.0000012810601219825912","0.0000012810601219825912"
"29","0.0000011950201042054687","0.0000011950201042054687","0.0000011950201042054687"
"30","0.0000010950332125503337","0.0000010950332125503337","0.0000010950332125503337"
"31","0.0000011899525134140276","0.0000011899525134140276","0.0000011899525134140276"
"32","0.0000012809862255380722","0.0000012809862255380722","0.0000012809862255380722"
"33","0.0000012368293482722947","0.0000012368293482722947","0.0000012368293482722947"
"34","0.0000012723795634883572","0.0000012723795634883572","0.0000012723795634883572"
"35","0.000001133601813307905","0.000001133601813307905","0.000001133601813307905"
"36","0.0000011277116982455482","0.0000011277116982455482","0.0000011277116982455482"
"37","0.0000011899245464519481","0.0000011899245464519481","0.0000011899245464519481"
"38","0.0000012423583939380478","0.0000012423583939380478","0.0000012423583939380478"
"39","0.0000011813989431175287","0.0000011813989431175287","0.0000011813989431175287"
"40","0.0000011341047638779855","0.0000011341047638779855","0.0000011341047638779855"
"41","0.000001082221729120647","0.000001082221729120647","0.000001082221729120647"
"42","0.0000011624304079305148","0.0000011624304079305148","0.0000011624304079305148"
"43","0.0000013104049685352948","0.0000013104049685352948","0.0000013104049685352948"
"44","0.0000011122481282654917","0.0000011122481282654917","0.0000011122481282654917"
"45","0.000001227690518135205","0.000001227690518135205","0.000001227690518135205"
"46","0.0000011123498779852525","0.0000011123498779852525","0.0000011123498779852525"
"47","0.0000011658077028187108","0.0000011658077028187108","0.0000011658077028187108"
"48","0.0000012247172662682715","0.0000012247172662682715","0.0000012247172662682715"
"49","0.0000011329087783451541","0.0000011329087783451541","0.0000011329087783451541"
"50","0.0000011293860779915121","0.0000011293860779915121","0.0000011293860779915121"
"51","0.0000010783505786093883","0.0000010783505786093883","0.0000010783505786093883"
"52","0.0000011139209163957275","0.0000011139209163957275","0.0000011139209163957275"
"53","0.0000011274757980572758","0.0000011274757980572758","0.0000011274757980572758"
"54","0.000001345021360066312","0.000001345021360066312","0.000001345021360066312"
"55","0.0000011628786751316511","0.0000011628786751316511","0.0000011628786751316511"
"56","0.000001135317461375962","0.000001135317461375962","0.000001135317461375962"
"57","0.0000011093204648204846","0.0000011093204648204846","0.0000011093204648204846"
"58","0.000001203974534291774","0.000001203974534291774","0.000001203974534291774"
"59","0.0000011422590660004062","0.0000011422590660004062","0.0000011422590660004062"
"60","0.0000011314908761050901","0.0000011314908761050901","0.0000011314908761050901"
"61","0.0000012573292451634188","0.0000012573292451634188","0.0000012573292451634188"
"62","0.0000011903915719813085","0.0000011903915719813085","0.0000011903915719813085"
"63","0.0000011537741784195532","0.0000011537741784195532","0.0000011537741784195532"
"64","0.000001178983211502782","0.000001178983211502782","0.000001178983211502782"
"65","0.0000011506451755849412","0.0000011506451755849412","0.0000011506451755849412"
"66","0.0000011748496717700618","0.0000011748496717700618","0.0000011748496717700618"
"67","0.000001103776980926341","0.000001103776980926341","0.000001103776980926341"
"68","0.000001238899699274043","0.000001238899699274043","0.000001238899699274043"
"69","0.0000011214849564566975","0.0000011214849564566975","0.0000011214849564566975"
"70","0.0000011397864909667987","0.0000011397864909667987","0.0000011397864909667987"
"71","0.0000011761358109652065","0.0000011761358109652065","0.0000011761358109652065"
"72","0.0000010999835922120837","0.0000010999835922120837","0.0000010999835922120837"
"73","0.0000012448238067008788","0.0000012448238067008788","0.0000012448238067008788"
"74","0.0000011576328233786626","0.0000011576328233786626","0.0000011576328233786626"
"75","0.0000012089705023754505","0.0000012089705023754505","0.0000012089705023754505"
"76","0.0000012331578318480751","0.0000012331578318480751","0.0000012331578318480751"
"77","0.0000012559512470033951","0.0000012559512470033951","0.0000012559512470033951"
"78","0.0000011138084801132209","0.0000011138084801132209","0.0000011138084801132209"
"79","0.0000011144901463921997","0.0000011144901463921997","0.0000011144901463921997"
"80","0.0000012819432413380127","0.0000012819432413380127","0.0000012819432413380127"
"81","0.0000012145206937930197","0.0000012145206937930197","0.0000012145206937930197"
"82","0.0000011175796998941223","0.0000011175796998941223","0.0000011175796998941223"
"83","0.0000012418419146342785","0.0000012418419146342785","0.0000012418419146342785"
"84","0.0000011813483524747426","0.0000011813483524747426","0.0000011813483524747426"
"85","0.000001141458255915495","0.000001141458255915495","0.000001141458255915495"
"86","0.0000011918039035663242","0.0000011918039035663242","0.0000011918039035663242"
